AREA_KM;NOMBBARR;NROBARRIO;CODBA
2,111000;CIUDAD VIEJA;1;CJ
1,297000;CENTRO;2;CE
0,694000;BARRIO SUR;3;SU
2,279000;CORDON;4;CD
0,798000;PALERMO;5;PL
0,766000;PARQUE RODO;6;PR
2,730000;PUNTA CARRETAS;7;PC
4,155000;BUCEO;9;BU
3,375000;PQUE. BATLLE, V. DOLORES;10;PB
3,501000;MALVIN;11;MA
1,714000;MALVIN NORTE;12;MN
3,816000;PUNTA GORDA;13;PG
6,168000;CARRASCO;14;CR
4,643000;CARRASCO NORTE;15;CN
32,162000;BA├æADOS DE CARRASCO;16;BC
3,126000;MARO├æAS, PARQUE GUARANI;17;MO
2,690000;FLOR DE MARO├æAS;18;FL
4,714000;LAS CANTERAS;19;LS
5,446000;PTA. RIELES, BELLA ITALIA;20;PT
3,856000;JARDINES DEL HIPODROMO;21;JH
1,966000;ITUZAINGO;22;IT
3,998000;UNION;23;UN
2,603000;VILLA ESPA├æOLA;24;VE
2,376000;MERCADO MODELO, BOLIVAR;25;MM
1,976000;CASTRO, P. CASTELLANOS;26;CC
1,928000;CERRITO;27;CT
2,845000;LAS ACACIAS;28;LA
2,113000;AIRES PUROS;29;AI
5,743000;CASAVALLE;30;CV
3,476000;PIEDRAS BLANCAS;31;PI
62,811000;MANGA, TOLEDO CHICO;32;MT
2,024000;PASO DE LAS DURANAS;33;PD
9,676000;PE├æAROL, LAVALLEJA;34;PJ
4,647000;CERRO;35;CO
35,776000;CASABO, PAJAS BLANCAS;36;CA
11,703000;LA PALOMA, TOMKINSON;37;LP
3,911000;PRADO, NUEVA SAVONA;39;PN
2,718000;CAPURRO, BELLA VISTA;40;CP
2,066000;AGUADA;41;AG
1,292000;REDUCTO;42;RE
0,945000;ATAHUALPA;43;AT
0,843000;JACINTO VERA;44;JV
0,888000;LA FIGURITA;45;FI
1,603000;LARRA├æAGA;46;LG
0,784000;LA BLANQUEADA;47;LB
1,091000;VILLA MU├æOZ, RETIRO;48;VM
0,829000;LA COMERCIAL;49;LC
0,953000;TRES CRUCES;50;TC
1,873000;BRAZO ORIENTAL;51;BO
2,612000;SAYAGO;52;SA
5,074000;CONCILIACION;53;CI
6,790000;NUEVO PARIS;55;NP
2,783000;TRES OMBUES, VICTORIA;56;TO
75,233000;PASO DE LA ARENA;57;PA
31,795000;COLON SURESTE, ABAYUBA;58;CY
6,119000;COLON CENTRO Y NOROESTE;59;CS
84,485000;LEZICA, MELILLA;60;LZ
29,721000;VILLA GARCIA, MANGA RUR.;61;VG
5,380000;MANGA;62;MG
3,139000;POCITOS;8;PO
3,202000;BELVEDERE;54;BE
3,270000;LA TEJA;38;LT
